Season,GameID,Team,VS,TeamID,OpponentID,Net Rating_Diff,AdjEM_Diff,AdjOE_Diff,AdjDE_Diff,eFGPct_Diff,TOPct_Diff,ORPct_Diff,FTRate_Diff
2025,100,Auburn,Louisville,1120,1106,12.4,12.392,10.328,-2.0638,2.34179924,-3.15010048,2.11363142,-0.95931301
2025,101,Michigan,Texas A&M,1257,1166,-1.8,-2.2534,0.506,2.7596,7.47527467,1.89281599,-8.30939507,-6.32379603
2025,102,Ole Miss,Iowa State,1276,1895,-5,-4.9276,-1.586,3.3417,-3.47782797,-4.13446209,-6.81534927,-2.87495852
2025,103,Marquette,Bryant,1401,1463,20.4,20.41024,10.97,-9.4397,1.0474078,-3.00421568,-4.08336498,-4.37726845
2025,104,Florida,Oklahoma,1279,1314,17.9,17.4808,8.876,-8.6044,0.20826295,-2.14268793,11.54393845,-7.4146797
2025,105,Memphis,Maryland,1235,1252,-11,-11.1934,-4.787,6.4071,-0.06774073,4.75063226,3.78934746,6.69687441
2025,106,Missouri,Texas Tech,1266,1307,-3.7,-3.6667,0.024,3.6901,0.74202353,0.4505087,-0.52488397,17.11900977
2025,107,Kansas,St. John's,1277,1136,-3.1,-3.1149,2.083,5.1982,3.45928734,1.16701352,-6.90970638,-5.85079916
2025,108,Duke,Mississippi State,1196,1313,18.1,18.0651,9.213,-8.8522,5.62094064,-0.68405592,1.10362228,0.4427742
2025,109,Oregon,Akron,1163,1328,13.5,13.57639,2.894,-10.6817,-3.18566118,-0.33240457,-2.45922202,6.58189401
2025,110,VCU,Wisconsin,1272,1161,-5.4,-5.7384,-7.025,-1.2866,-2.04716761,2.27951752,8.82549878,-2.37796485
2025,110,Vanderbilt,Alabama,1272,1161,-13.8,-13.7438,-8.581,5.1621,-4.68244412,-1.93100812,-2.56061489,-6.11522111
2025,111,Houston,Georgia,1268,1213,16,16.0798,7.801,-8.2782,0.16252602,-4.25453006,0.03203012,-11.6701721
2025,112,Clemson,Purdue,1281,1179,0.2,0.1173,-5.473,-5.5906,-2.70215655,0.15649803,2.76188062,-6.43743488
2025,113,Xavier,Troy,1403,1423,10.3,10.29429,7.753,-2.5414,3.82016327,-3.90178071,-13.38432366,-0.60037254
2025,114,UCLA,Tennessee,1242,1116,-9.5,-9.6513,-3.153,6.4979,0.17114322,-0.16318517,-3.08541846,-1.71013844
